ticker,anomaly,mean_excess_return_anomaly_days
CARNIVAL,is_first_day_quarter,0.0118052442206567
DECKERS OUTDOOR,is_first_day_quarter,0.01892562966745285
DEVON ENERGY,is_first_day_quarter,0.025861876028133602
DEXCOM,is_first_day_quarter,0.01816636846896125
EQT,is_first_day_quarter,0.026335126753932053
EXPEDIA GROUP,is_first_day_quarter,0.015300800564082295
FIRST SOLAR,is_first_day_quarter,0.02518943238710396
FORTINET,is_first_day_quarter,0.021287340485333435
FREEPORT-MCMORAN,is_first_day_quarter,0.02349064097724248
GENERAC HOLDINGS,is_first_day_quarter,0.02053867622233495
HALLIBURTON,is_first_day_quarter,0.026257373374118227
LULULEMON ATHLETICA,is_first_day_quarter,0.02067731976006986
MGM RESORTS INTL.,is_first_day_quarter,0.01969667207052782
MICRON TECHNOLOGY,is_first_day_quarter,0.022106454922893218
MONOLITHIC PWR.SYS.,is_first_day_quarter,0.015076323479728274
NETFLIX,is_first_day_quarter,0.015218374906277643
NVIDIA,is_first_day_quarter,0.018135559151945587
NXP SEMICONDUCTORS,is_first_day_quarter,0.019543392449097148
OCCIDENTAL PTL.,is_first_day_quarter,0.02436717071530137
ON SEMICONDUCTOR,is_first_day_quarter,0.01917039506596549
PARAMOUNT SKYDANCE B,is_first_day_quarter,0.01843008062396936
PG&E,is_first_day_quarter,0.016004022743213105
ROYAL CARIBBEAN GROUP,is_first_day_quarter,0.01487844257283556
SEAGATE TECHNOLOGY HOLDINGS,is_first_day_quarter,0.01991823448209621
SKYWORKS SOLUTIONS,is_first_day_quarter,0.019167012816433206
SUPER MICRO COMPUTER,is_first_day_quarter,-1.3222997460634552e-05
TESLA,is_first_day_quarter,0.017163354362202118
TEXAS PACIFIC LAND TRUST,is_first_day_quarter,0.023507154603453637
UNITED AIRLINES HOLDINGS,is_first_day_quarter,0.007461100191821347
UNITED RENTALS,is_first_day_quarter,0.016979759770040005
VERTEX PHARMS.,is_first_day_quarter,0.02280106280676138
WARNER BROS DISCOVERY SERIES A,is_first_day_quarter,0.020880990837331553
WESTERN DIGITAL,is_first_day_quarter,0.019580415301589243
WYNN RESORTS,is_first_day_quarter,0.02877519367930876
